price,bedroom,space,room,lot,tax,bathroom,garage,condition
64,2,898,5,30,1394,1.0,1.0,0
42,3,585,5,50,713,1.0,0.0,0
49,3,758,5,27,766,1.0,0.0,1
56,3,900,5,35,897,1.5,1.0,0
44,4,897,7,25,960,2.0,1.0,0
48,3,758,5,27,743,1.0,0.0,1
34,4,1095,7,25,530,1.5,0.0,0
55,1,978,5,39,653,1.5,0.0,0
70,3,1233,8,33,827,1.5,1.5,0
55,3,1379,8,50,1309,1.5,0.0,0
45,2,641,5,25,860,1.0,0.0,0
35,4,1137,7,25,561,1.5,0.0,0
41,4,859,7,25,941,2.0,1.0,0
62,3,1133,7,30,725,2.0,0.0,1
63,3,1178,7,50,1124,1.5,1.5,0
59,2,839,5,35,926,1.5,1.0,0
69,1,907,5,30,1320,1.0,1.0,0
45,3,583,5,25,888,1.0,0.0,0
81,5,2173,9,40,1074,2.5,1.0,1
65,3,1023,7,30,900,2.0,1.0,0
36,3,777,6,25,449,1.0,0.0,0
70,3,2230,6,29,2727,1.0,2.0,0
65,4,1250,8,37,554,2.0,2.0,0
52,4,1040,7,30,694,1.5,0.0,0
54,2,944,5,39,684,1.5,0.0,0
52,5,1021,7,30,669,1.5,0.0,0
70,3,1250,8,33,851,1.5,1.5,0
70,2,2191,6,29,2688,1.0,2.0,0
55,3,1438,8,50,1294,1.5,0.0,0
85,7,2295,12,50,1233,3.0,2.0,0
38,3,743,6,25,489,1.0,0.0,0
51,2,714,6,30,536,1.0,2.0,1
88,7,2277,12,50,1248,3.0,2.0,0
53,3,716,6,30,585,1.0,2.0,1
32,4,1065,7,25,492,1.5,0.0,0
47,3,862,6,25,600,1.0,0.0,0
39,2,563,5,50,755,1.0,0.0,0
51,4,1458,8,30,646,1.0,1.0,1
54,1,964,5,39,621,1.5,0.0,0
44,4,880,7,25,965,2.0,1.0,0
63,4,963,7,30,885,2.0,1.0,0
