price,bedroom,space,room,lot,tax,bathroom,garage,condition,yearbuilt,location
67,2,901,5,30,1373,1.0,1.0,0,2003,Chicago
85,3,2240,9,40,1101,2.5,1.0,1,1998,Chicago
85,3,2240,9,40,1101,2.5,1.0,1,2005,Chicago
64,2,1114,7,30,746,2.0,0.0,1,2001,Chicago
64,2,1114,7,30,746,2.0,0.0,1,2003,Chicago
64,2,1114,7,30,746,2.0,0.0,1,2005,Chicago
64,2,1114,7,30,746,2.0,0.0,1,2002,Chicago
63,1,722,5,25,836,1.0,0.0,0,1995,Chicago
63,1,722,5,25,836,1.0,0.0,0,2005,Chicago
41,4,927,7,25,975,2.0,1.0,0,2002,Chicago
53,2,636,6,30,553,1.0,2.0,1,2002,Chicago
82,4,2104,9,40,1038,2.5,1.0,1,1997,Chicago
50,3,861,6,25,567,1.0,0.0,0,2000,Chicago
50,3,861,6,25,567,1.0,0.0,0,1996,Chicago
50,3,861,6,25,567,1.0,0.0,0,2002,Chicago
59,3,859,5,33,994,1.0,2.0,1,2004,Chicago
59,3,859,5,33,994,1.0,2.0,1,1999,Chicago
59,3,859,5,33,994,1.0,2.0,1,1995,Chicago
61,1,785,5,25,817,1.0,0.0,0,1998,Chicago
61,1,785,5,25,817,1.0,0.0,0,1995,Chicago
47,4,924,6,25,633,1.0,0.0,0,2003,Chicago
47,4,924,6,25,633,1.0,0.0,0,2000,Chicago
56,3,1049,6,24,982,1.5,2.0,0,2007,Chicago
56,3,1049,6,24,982,1.5,2.0,0,2001,Chicago
56,3,1049,6,24,982,1.5,2.0,0,1995,Chicago
56,3,1049,6,24,982,1.5,2.0,0,1998,Chicago
45,3,860,7,25,970,2.0,1.0,0,2000,Chicago
45,3,860,7,25,970,2.0,1.0,0,1997,Chicago
45,3,860,7,25,970,2.0,1.0,0,1996,Chicago
55,5,1255,8,50,1278,1.5,0.0,0,2007,Chicago
55,5,1255,8,50,1278,1.5,0.0,0,2001,Chicago
39,2,701,6,25,500,1.0,0.0,0,2001,Chicago
39,2,701,6,25,500,1.0,0.0,0,1998,Chicago
45,3,581,5,25,821,1.0,0.0,0,2000,Chicago
45,3,581,5,25,821,1.0,0.0,0,1997,Chicago
45,3,581,5,25,821,1.0,0.0,0,1996,Chicago
72,5,1299,8,33,767,1.5,1.5,0,2006,Chicago
72,5,1299,8,33,767,1.5,1.5,0,2001,Chicago
59,2,848,5,25,814,1.0,0.0,0,2004,Chicago
59,2,848,5,25,814,1.0,0.0,0,1999,Chicago
59,2,848,5,25,814,1.0,0.0,0,1995,Chicago
58,1,799,5,33,1025,1.0,2.0,1,2001,Chicago
58,1,799,5,33,1025,1.0,2.0,1,2003,Chicago
88,8,2228,12,50,1208,3.0,2.0,0,2005,Chicago
46,3,855,7,25,948,2.0,1.0,0,2002,Chicago
46,3,855,7,25,948,2.0,1.0,0,2005,Chicago
46,3,855,7,25,948,2.0,1.0,0,1997,Chicago
47,3,1053,7,30,700,1.5,0.0,0,2003,Chicago
47,3,1053,7,30,700,1.5,0.0,0,2000,Chicago
43,2,593,4,30,465,2.0,1.0,0,1998,Chicago
64,2,898,5,30,1394,1.0,1.0,0,2001,Chicago
64,2,898,5,30,1394,1.0,1.0,0,2003,Chicago
64,2,898,5,30,1394,1.0,1.0,0,2005,Chicago
64,2,898,5,30,1394,1.0,1.0,0,2002,Chicago
42,3,585,5,50,713,1.0,0.0,0,1997,Chicago
42,3,585,5,50,713,1.0,0.0,0,1998,Chicago
49,3,758,5,27,766,1.0,0.0,1,2004,Chicago
49,3,758,5,27,766,1.0,0.0,1,2008,Chicago
49,3,758,5,27,766,1.0,0.0,1,2005,Chicago
49,3,758,5,27,766,1.0,0.0,1,2000,Chicago
49,3,758,5,27,766,1.0,0.0,1,2010,Chicago
56,3,900,5,35,897,1.5,1.0,0,2007,Chicago
56,3,900,5,35,897,1.5,1.0,0,2001,Chicago
56,3,900,5,35,897,1.5,1.0,0,1995,Chicago
56,3,900,5,35,897,1.5,1.0,0,1998,Chicago
44,4,897,7,25,960,2.0,1.0,0,2005,Chicago
44,4,897,7,25,960,2.0,1.0,0,1999,Chicago
44,4,897,7,25,960,2.0,1.0,0,2002,Chicago
44,4,897,7,25,960,2.0,1.0,0,1997,Chicago
48,3,758,5,27,743,1.0,0.0,1,2005,Chicago
48,3,758,5,27,743,1.0,0.0,1,2010,Chicago
55,1,978,5,39,653,1.5,0.0,0,2007,Chicago
55,1,978,5,39,653,1.5,0.0,0,2001,Chicago
70,3,1233,8,33,827,1.5,1.5,0,2002,Chicago
70,3,1233,8,33,827,1.5,1.5,0,2001,Chicago
70,3,1233,8,33,827,1.5,1.5,0,1995,Chicago
55,3,1379,8,50,1309,1.5,0.0,0,2007,Chicago
55,3,1379,8,50,1309,1.5,0.0,0,2001,Chicago
45,2,641,5,25,860,1.0,0.0,0,2000,Chicago
45,2,641,5,25,860,1.0,0.0,0,1997,Chicago
45,2,641,5,25,860,1.0,0.0,0,1996,Chicago
35,4,1137,7,25,561,1.5,0.0,0,1999,Chicago
41,4,859,7,25,941,2.0,1.0,0,2002,Chicago
62,3,1133,7,30,725,2.0,0.0,1,2003,Chicago
62,3,1133,7,30,725,2.0,0.0,1,2001,Chicago
63,3,1178,7,50,1124,1.5,1.5,0,1995,Chicago
63,3,1178,7,50,1124,1.5,1.5,0,2005,Chicago
59,2,839,5,35,926,1.5,1.0,0,2004,Chicago
59,2,839,5,35,926,1.5,1.0,0,1999,Chicago
59,2,839,5,35,926,1.5,1.0,0,1995,Chicago
69,1,907,5,30,1320,1.0,1.0,0,2005,Chicago
45,3,583,5,25,888,1.0,0.0,0,2000,Chicago
45,3,583,5,25,888,1.0,0.0,0,1997,Chicago
45,3,583,5,25,888,1.0,0.0,0,1996,Chicago
81,5,2173,9,40,1074,2.5,1.0,1,1998,Chicago
65,3,1023,7,30,900,2.0,1.0,0,2003,Chicago
65,3,1023,7,30,900,2.0,1.0,0,2001,Chicago
65,3,1023,7,30,900,2.0,1.0,0,2000,Chicago
36,3,777,6,25,449,1.0,0.0,0,2001,Chicago
70,3,2230,6,29,2727,1.0,2.0,0,2002,Chicago
70,3,2230,6,29,2727,1.0,2.0,0,2001,Chicago
70,3,2230,6,29,2727,1.0,2.0,0,1995,Chicago
65,4,1250,8,37,554,2.0,2.0,0,2003,Chicago
65,4,1250,8,37,554,2.0,2.0,0,2001,Chicago
65,4,1250,8,37,554,2.0,2.0,0,2000,Chicago
52,4,1040,7,30,694,1.5,0.0,0,2003,Chicago
54,2,944,5,39,684,1.5,0.0,0,2004,Chicago
52,5,1021,7,30,669,1.5,0.0,0,2003,Chicago
70,3,1250,8,33,851,1.5,1.5,0,2002,Chicago
70,3,1250,8,33,851,1.5,1.5,0,2001,Chicago
70,3,1250,8,33,851,1.5,1.5,0,1995,Chicago
70,2,2191,6,29,2688,1.0,2.0,0,2002,Chicago
70,2,2191,6,29,2688,1.0,2.0,0,2001,Chicago
70,2,2191,6,29,2688,1.0,2.0,0,1995,Chicago
55,3,1438,8,50,1294,1.5,0.0,0,2007,Chicago
55,3,1438,8,50,1294,1.5,0.0,0,2001,Chicago
85,7,2295,12,50,1233,3.0,2.0,0,1998,Chicago
85,7,2295,12,50,1233,3.0,2.0,0,2005,Chicago
38,3,743,6,25,489,1.0,0.0,0,2001,Chicago
51,2,714,6,30,536,1.0,2.0,1,2010,Chicago
88,7,2277,12,50,1248,3.0,2.0,0,2005,Chicago
53,3,716,6,30,585,1.0,2.0,1,2002,Chicago
32,4,1065,7,25,492,1.5,0.0,0,1999,Chicago
47,3,862,6,25,600,1.0,0.0,0,2003,Chicago
47,3,862,6,25,600,1.0,0.0,0,2000,Chicago
39,2,563,5,50,755,1.0,0.0,0,2001,Chicago
39,2,563,5,50,755,1.0,0.0,0,1998,Chicago
51,4,1458,8,30,646,1.0,1.0,1,2010,Chicago
54,1,964,5,39,621,1.5,0.0,0,2004,Chicago
44,4,880,7,25,965,2.0,1.0,0,2005,Chicago
44,4,880,7,25,965,2.0,1.0,0,1999,Chicago
44,4,880,7,25,965,2.0,1.0,0,2002,Chicago
44,4,880,7,25,965,2.0,1.0,0,1997,Chicago
63,4,963,7,30,885,2.0,1.0,0,1995,Chicago
63,4,963,7,30,885,2.0,1.0,0,2005,Chicago
